description	focal_method	test_case
"/** * This function calculates the sum of two integers and returns the result. * @param a the first integer * @param b the second integer * @return the sum of the input integers */"	"public int sum(int a, int b) { return a + b; }"	"@Test public void testSumPositiveNumbers() { assertEquals(5, sum(2, 3)); }"
"/** * This function calculates the sum of two integers and returns the result. * @param a the first integer * @param b the second integer * @return the sum of the input integers */"	"public int sum(int a, int b) { return a + b; }"	"@Test public void testSumNegativeNumbers() { assertEquals(-5, sum(-2, -3)); }"
"/** * This function calculates the sum of two integers and returns the result. * @param a the first integer * @param b the second integer * @return the sum of the input integers */"	"public int sum(int a, int b) { return a + b; }"	"@Test public void testSumZero() { assertEquals(0, sum(0, 0)); }"
"/** * This function calculates the difference between two integers. * @param a the first integer * @param b the second integer * @return the difference between the input integers */"	"public int subtract(int a, int b) { return a - b; }"	"@Test public void testSubtractPositiveNumbers() { assertEquals(1, subtract(3, 2)); }"
"/** * This function calculates the difference between two integers. * @param a the first integer * @param b the second integer * @return the difference between the input integers */"	"public int subtract(int a, int b) { return a - b; }"	"@Test public void testSubtractNegativeNumbers() { assertEquals(-1, subtract(-3, -2)); }"
"/** * This function calculates the difference between two integers. * @param a the first integer * @param b the second integer * @return the difference between the input integers */"	"public int subtract(int a, int b) { return a - b; }"	"@Test public void testSubtractZero() { assertEquals(2, subtract(2, 0)); }"
"/** * This function multiplies two integers. * @param a the first integer * @param b the second integer * @return the product of the input integers */"	"public int multiply(int a, int b) { return a * b; }"	"@Test public void testMultiplyPositiveNumbers() { assertEquals(6, multiply(2, 3)); }"
"/** * This function multiplies two integers. * @param a the first integer * @param b the second integer * @return the product of the input integers */"	"public int multiply(int a, int b) { return a * b; }"	"@Test public void testMultiplyByZero() { assertEquals(0, multiply(2, 0)); }"
"/** * This function multiplies two integers. * @param a the first integer * @param b the second integer * @return the product of the input integers */"	"public int multiply(int a, int b) { return a * b; }"	"@Test public void testMultiplyNegativeNumbers() { assertEquals(6, multiply(-2, -3)); }"
"/** * This function divides two integers. * @param a the numerator * @param b the denominator * @return the result of the division * @throws ArithmeticException if division by zero occurs */"	"public int divide(int a, int b) { if (b == 0) throw new ArithmeticException("Cannot divide by zero"); return a / b; }"	"@Test public void testDividePositiveNumbers() { assertEquals(2, divide(6, 3)); }"
"/** * This function divides two integers. * @param a the numerator * @param b the denominator * @return the result of the division * @throws ArithmeticException if division by zero occurs */"	"public int divide(int a, int b) { if (b == 0) throw new ArithmeticException("Cannot divide by zero"); return a / b; }"	"@Test(expected = ArithmeticException.class) public void testDivideByZero() { divide(5, 0); }"
"/** * This function divides two integers. * @param a the numerator * @param b the denominator * @return the result of the division * @throws ArithmeticException if division by zero occurs */"	"public int divide(int a, int b) { if (b == 0) throw new ArithmeticException("Cannot divide by zero"); return a / b; }"	"@Test public void testDivideNegativeNumbers() { assertEquals(2, divide(-6, -3)); }"
"/** * This function calculates the modulus of two integers. * @param a the first integer * @param b the second integer * @return the remainder when a is divided by b * @throws ArithmeticException if b is zero */"	"public int modulus(int a, int b) { if (b == 0) throw new ArithmeticException("Cannot divide by zero"); return a % b; }"	"@Test public void testModulusPositiveNumbers() { assertEquals(1, modulus(7, 3)); } @Test public void testModulusNegativeNumbers() { assertEquals(-1, modulus(-7, 3)); } @Test(expected = ArithmeticException.class) public void testModulusByZero() { modulus(7, 0); }"
